,Sentence #,Word,Tag
0,0,ip_input.c,B-Component
1,0,in,O
2,0,BSD-derived,B-App
3,0,TCP/IP,I-App
4,0,implementations,I-App
5,0,allows,O
6,0,remote,B-Attacker
7,0,attackers,I-Attacker
8,0,to,O
9,0,cause,O
10,0,a,O
11,0,denial,B-VulType
12,0,of,I-VulType
13,0,service,I-Vultype
14,0,(crash or hang),B-VultypeAKA
15,0,via,O
16,0,crafted,B-Vector
17,0,packets,I-Vector
18,111,Buffer,B-VulType
19,111,overflow,I-VulType
20,111,in,O
21,111,NFS,B-App
22,111,mountd,I-App
23,111,gives,B-Impact
24,111,root,I-Impact
25,111,access,I-Impact
26,111,to,O
27,111,remote,B-Attacker
28,111,attackers,I-Attacker
29,111,mostly,O
30,111,in,O
31,111,Linux,B-Platform
32,111,systems,I-Platform
33,156,Execute,B-Impact
34,156,commands,I-Impact
35,156,as,I-Impact
36,156,root,I-Impact
37,156,via,O
38,156,buffer,B-VulType
39,156,overflow,I-VulType
40,156,in,O
41,156,Tooltalk,B-App
42,156,database,I-App
43,156,server,I-App
44,156,rpc.ttdbserverd,B-App
45,167,MIME,B-VulType
46,167,buffer,I-VulType
47,167,overflow,I-VulType
48,167,in,O
49,167,email,B-App
50,167,clients,I-App
51,167,e.g.,O
52,167,Solaris,B-App
53,167,mailtool,I-App
54,167,and,O
55,167,Outlook,B-App
56,178,Arbitrary,B-Impact
57,178,command,I-Impact
58,178,execution,I-Impact
59,178,via,O
60,178,IMAP,B-VulType
61,178,buffer,I-VulType
62,178,overflow,I-VulType
63,178,in,O
64,178,authenticate,B-Component
65,178,command,I-B-Component
66,188,Buffer,B-VulType
67,188,overflow,I-VulType
68,188,in,O
69,188,POP,B-App
70,188,servers,I-App
71,188,based,O
72,188,on,O
73,188,BSD/Qualcomm's,B-Component
74,188,qpopper,I-Component
75,188,allows,O
76,188,remote,B-Attacker
77,188,attackers,I-Attacker
78,188,to,O
79,188,gain,B-Impact
80,188,root,I-Impact
81,188,access,I-Impact
82,188,using,O
83,188,a,O
84,188,long,B-Vector
85,188,PASS,I-Vector
86,188,command,I-Vector
87,199,Information,O
88,199,from,O
89,199,SSL-encrypted,B-Component
90,199,sessions,I-Component
91,199,via,O
92,199,PKCS,B-Vector
93,210,Buffer,B-VulType
94,210,overflow,I-VulType
95,210,in,O
96,210,NIS+,B-Component
97,210,in,O
98,210,Sun's,B-App
99,210,rpc.nisd,I-App
100,210,program,I-App
101,221,Inverse,B-VulType
102,221,query,I-VulType
103,221,buffer,I-VulType
104,221,overflow,I-VulType
105,221,in,O
106,221,BIND,B-App
107,221,4.9,B-AppVer
108,221,and,O
109,221,BIND,B-App
110,221,8,B-AppVer
111,221,Releases,I-AppVer
112,1,Denial,B-VulType
113,1,of,I-VulType
114,1,Service,I-VulType
115,1,vulnerability,I-VulType
116,1,in,O
117,1,BIND,B-App
118,1,8,B-AppVer
119,1,Releases,I-AppVer
120,1,via,O
121,1,maliciously,B-Vector
122,1,formatted,I-Vector
123,1,DNS,I-Vector
124,1,messages,I-Vector
125,12,Denial,B-VulType
126,12,of,I-VulType
127,12,Service,I-VulType
128,12,vulnerabilities,I-VulType
129,12,in,O
130,12,BIND,B-App
131,12,4.9,B-AppVer
132,12,and,O
133,12,BIND,B-App
134,12,8,B-AppVer
135,12,Releases,I-AppVer
136,12,via,O
137,12,CNAME,B-Vector
138,12,record,I-Vector
139,12,and,I-Vector
140,12,zone,I-Vector
141,12,transfer,I-Vector
142,23,Some,O
143,23,web,B-Component
144,23,servers,I-Component
145,23,under,O
146,23,Microsoft,B-Platform
147,23,Windows,I-Platform
148,23,allow,O
149,23,remote,B-Attacker
150,23,attackers,I-Attacker
151,23,to,O
152,23,bypass,B-Impact
153,23,access,I-Impact
154,23,restrictions,I-Impact
155,23,for,O
156,23,files,B-Victim
157,23,with,O
158,23,long,B-Vector
159,23,file,I-Vector
160,23,names,I-Vector
161,34,A,O
162,34,filter,B-MINICOMPO
163,34,in,O
164,34,a,O
165,34,router,B-Component
166,34,or,O
167,34,firewall,B-Component
168,34,allows,O
169,34,unusual,B-Vector
170,34,fragmented,I-Vector
171,34,packets,I-Vector
172,45,Microsoft,B-App
173,45,NetMeeting,I-App
174,45,2.1,B-AppVer
175,45,allows,O
176,45,one,O
177,45,client,B-Attacker
178,45,to,O
179,45,read,B-Impact
180,45,the,I-Impact
181,45,contents,I-Impact
182,45,of,O
183,45,another,B-Victim
184,45,client's,I-Victim
185,45,clipboard,I-Victim
186,45,via,O
187,45,a,O
188,45,CTRL-C,B-Vector
189,45,in,I-Vector
190,45,the,I-Vector
191,45,chat,I-Vector
192,45,box,I-Vector
193,45,when,I-Vector
194,45,the,I-Vector
195,45,box,I-Vector
196,45,is,I-Vector
197,45,empty,I-Vector
198,56,IIS,B-App
199,56,Inetinfo.exe,I-App
200,56,allows,O
201,56,local,B-Attacker
202,56,users,I-Attacker
203,56,to,O
204,56,cause,O
205,56,a,O
206,56,denial,B- VulType
207,56,of,I-VulType
208,56,service,I-VulType
209,56,by,O
210,56,creating,B-Vector
211,56,a,I-Vector
212,56,mail,I-Vector
213,56,file,I-Vector
214,56,with,I-Vector
215,56,a,I-Vector
216,56,long,I-Vector
217,56,name,I-Vector
218,56,and,O
219,56,a,O
220,56,.txt.eml,B-Vector
221,56,extension,I-Vector
222,56,in,I-Vector
223,56,the,I-Vector
224,56,pickup,I-Vector
225,56,directory,I-Vector
226,67,AppleShare,B-App
227,67,IP,I-App
228,67,6.1,B-AppVer
229,67,and,O
230,67,later,B-AppVer
231,67,allows,O
232,67,a,O
233,67,remote,B-Attacker
234,67,attacker,I-Attacker
235,67,to,O
236,67,read,B-VulType
237,67,potentially,I-VulType
238,67,sensitive,I-VulType
239,67,information,I-VulType
240,67,via,O
241,67,an,O
242,67,invalid,B-Vector
243,67,range,I-Vector
244,67,request,I-Vector
245,67,to,O
246,67,the,O
247,67,web,B-Victim
248,67,server,I-Victim
249,78,Buffer,B-VulType
250,78,overflow,I-VulType
251,78,in,O
252,78,krb_rd_req,B-Component
253,78,function,I-Component
254,78,in,O
255,78,Kerberos,B-App
256,78,4,B-AppVer
257,78,and,O
258,78,5,B-AppVer
259,78,allows,O
260,78,remote,B-Attacker
261,78,attackers,I-Attacker
262,78,to,O
263,78,gain,B-Impact
264,78,root,I-Impact
265,78,privileges,I-Impact
266,89,Vulnerability,B-VulType
267,89,in,O
268,89,cvconnect,B-Component
269,89,in,O
270,89,SGI,B-App
271,89,IRIX,I-App
272,89,WorkShop,I-App
273,89,allows,O
274,89,local,B-Attacker
275,89,users,I-Attacker
276,89,to,O
277,89,overwrite,B-Impact
278,89,arbitrary,I-Impact
279,89,files,I-Impact
280,100,The,O
281,100,default,B-Setting
282,100,installation,I-Setting
283,100,of,O
284,100,VirusScan,B-App
285,100,4.5,B-AppVer
286,100,and,O
287,100,NetShield,B-App
288,100,4.5,B-AppVer
289,100,has,O
290,100,insecure,B-VulType
291,100,permissions,I-VulType
292,100,for,O
293,100,the,O
294,100,registry,B-Component
295,100,key,I-Component
296,100,that,I-Component
297,100,identifies,I-Component
298,100,the,I-Component
299,100,AutoUpgrade,I-Component
300,100,directory,I-Component
301,100,which,O
302,100,allows,O
303,100,local,B-Attacker
304,100,users,I-Attacker
305,100,to,O
306,100,execute,B-Impact
307,100,arbitrary,I-Impact
308,100,commands,I-Impact
309,100,by,O
310,100,replacing,B-Vector
311,100,SETUP.EXE,I-Vector
312,100,in,I-Vector
313,100,that,I-Vector
314,100,directory,I-Vector
315,100,with,I-Vector
316,100,a,I-Vector
317,100,Trojan Horse,I-Vector
318,112,The,O
319,112,installation,B-Setting
320,112,of,O
321,112,J-Pilot,B-App
322,112,creates,O
323,112,the,O
324,112,.jpilot,B-Component
325,112,directory,I-Component
326,112,with,I-Component
327,112,the,I-Component
328,112,user's,I-Component
329,112,umask,I-Component
330,112,1,O
331,112,which,O
332,112,could,O
333,112,allow,O
334,112,local,B-Attacker
335,112,attackers,I-Attacker
336,112,to,O
337,112,read,B-Impact
338,112,other,B-Impact
339,112,users',I-Impact
340,112,PalmOS,I-Impact
341,112,backup,I-Impact
342,112,information,I-Impact
343,112,if,O
344,112,their,B-Vector
345,112,umasks,I-Vector
346,112,are,I-Vector
347,112,not,I-Vector
348,112,securely,I-Vector
349,112,set,I-Vector
350,123,GTK+,B-App
351,123,library,I-App
352,123,allows,O
353,123,local,B-Attacker
354,123,users,I-Attacker
355,123,to,O
356,123,specify,B-Impact
357,123,arbitrary,I-Impact
358,123,modules,I-Impact
359,123,via,O
360,123,the,O
361,123,GTK_MODULES,B-Component
362,123,environmental,I-Component
363,123,variable,I-Component
364,123,which,O
365,123,could,O
366,123,allow,O
367,123,local,B-Attacker
368,123,users,I-Attacker
369,123,to,O
370,123,gain,B-Impact
371,123,privileges,I-Impact
372,123,if,O
373,123,GTK+,B-Vector
374,123,is,I-Vector
375,123,used,I-Vector
376,123,by,I-Vector
377,123,a,I-Vector
378,123,setuid/setgid,I-Vector
379,123,program,I-Vector
380,134,The,O
381,134,Web,B-Component
382,134,interface,I-Component
383,134,for,O
384,134,Infinite,B-App
385,134,Interchange,I-App
386,134,3.6.1,B-AppVer
387,134,allows,O
388,134,remote,B-Attacker
389,134,attackers,I-Attacker
390,134,to,O
391,134,cause,O
392,134,a,O
393,134,denial,B-VulType
394,134,of,I-VulType
395,134,service,I-VulType
396,134,(application crash),B-VulTypeAKA
397,134,via,O
398,134,a,O
399,134,large,B-Vector
400,134,POST,I-Vector
401,134,request,I-Vector
402,145,bsguest.cgi,B-App
403,145,guestbook,I-App
404,145,script,B-Component
405,145,allows,O
406,145,remote,B-Attacker
407,145,attackers,I-Attacker
408,145,to,O
409,145,execute,B-Impact
410,145,arbitrary,I-Impact
411,145,commands,I-Impact
412,145,via,O
413,145,shell,B-Vector
414,145,metacharacters,I-Vector
415,145,in,I-Vector
416,145,the,I-Vector
417,145,email,I-Vector
418,145,address,I-Vector
419,149,Cisco,B-Platform
420,149,340-series,I-Platform
421,149,Aironet,I-Platform
422,149,access,I-Platform
423,149,point,I-Platform
424,149,using,O
425,149,firmware,B-App
426,149,11.01,I-App
427,149,does,O
428,149,not,O
429,149,use,O
430,149,6,O
431,149,of,O
432,149,the,O
433,149,24,O
434,149,available,O
435,149,IV,B-Component
436,149,bits,I-Component
437,149,for,I-Component
438,149,WEP,I-Component
439,149,encryption,I-Component
440,149,1,O
441,149,which,O
442,149,makes,O
